vg	vd	I_Probe1.i[0,::]
-6.00000000000000090E-1	2.99999999999999730E0	3.10000000000000000E-2
-6.00000000000000090E-1	3.04999999999999720E0	3.10000000000000000E-2
-6.00000000000000090E-1	3.09999999999999700E0	3.20000000000000000E-2
-6.00000000000000090E-1	3.14999999999999680E0	3.20000000000000000E-2
-6.00000000000000090E-1	3.19999999999999660E0	3.30000000000000000E-2
-6.00000000000000090E-1	3.24999999999999640E0	3.30000000000000000E-2
-6.00000000000000090E-1	3.29999999999999630E0	3.30000000000000000E-2
-6.00000000000000090E-1	3.34999999999999610E0	3.40000000000000000E-2
-6.00000000000000090E-1	3.39999999999999590E0	3.40000000000000000E-2
-6.00000000000000090E-1	3.44999999999999570E0	3.50000000000000000E-2
-6.00000000000000090E-1	3.49999999999999560E0	3.50000000000000000E-2
-6.00000000000000090E-1	3.54999999999999540E0	3.60000000000000000E-2
-6.00000000000000090E-1	3.59999999999999520E0	3.60000000000000000E-2
-6.00000000000000090E-1	3.64999999999999500E0	3.70000000000000000E-2
-6.00000000000000090E-1	3.69999999999999480E0	3.70000000000000000E-2
-6.00000000000000090E-1	3.74999999999999470E0	3.80000000000000000E-2
-6.00000000000000090E-1	3.79999999999999450E0	3.80000000000000000E-2
-6.00000000000000090E-1	3.84999999999999430E0	3.90000000000000000E-2
-6.00000000000000090E-1	3.89999999999999410E0	3.90000000000000000E-2
-6.00000000000000090E-1	3.94999999999999400E0	3.90000000000000000E-2
-6.00000000000000090E-1	4.00000000000000000E0	4.00000000000000000E-2

vg	vd	I_Probe1.i[5, ::]
-5.00000000000000090E-1	0.00000000000000000E0	2.50000000000000000E-10
-5.00000000000000090E-1	5.00000000000000000E-2	5.10000000000000000E-3
-5.00000000000000090E-1	1.00000000000000000E-1	9.90000000000000000E-3
-5.00000000000000090E-1	1.50000000000000020E-1	1.40000000000000000E-2
-5.00000000000000090E-1	2.00000000000000000E-1	1.70000000000000000E-2
-5.00000000000000090E-1	2.50000000000000000E-1	2.00000000000000000E-2
-5.00000000000000090E-1	3.00000000000000000E-1	2.20000000000000000E-2
-5.00000000000000090E-1	3.50000000000000000E-1	2.40000000000000000E-2
-5.00000000000000090E-1	3.99999999999999960E-1	2.50000000000000000E-2
-5.00000000000000090E-1	4.50000000000000000E-1	2.70000000000000000E-2
-5.00000000000000090E-1	4.99999999999999910E-1	2.70000000000000000E-2
-5.00000000000000090E-1	5.49999999999999910E-1	2.80000000000000000E-2
-5.00000000000000090E-1	6.00000000000000000E-1	2.90000000000000000E-2
-5.00000000000000090E-1	6.50000000000000000E-1	2.90000000000000000E-2
-5.00000000000000090E-1	7.00000000000000090E-1	3.00000000000000000E-2
-5.00000000000000090E-1	7.50000000000000090E-1	3.00000000000000000E-2
-5.00000000000000090E-1	8.00000000000000180E-1	3.00000000000000000E-2
-5.00000000000000090E-1	8.50000000000000180E-1	3.10000000000000000E-2
-5.00000000000000090E-1	9.00000000000000180E-1	3.10000000000000000E-2
-5.00000000000000090E-1	9.50000000000000360E-1	3.20000000000000000E-2
-5.00000000000000090E-1	1.00000000000000020E0	3.20000000000000000E-2
-5.00000000000000090E-1	1.05000000000000030E0	3.20000000000000000E-2
-5.00000000000000090E-1	1.10000000000000030E0	3.30000000000000000E-2
-5.00000000000000090E-1	1.15000000000000040E0	3.30000000000000000E-2
-5.00000000000000090E-1	1.20000000000000040E0	3.40000000000000000E-2
-5.00000000000000090E-1	1.25000000000000040E0	3.40000000000000000E-2
-5.00000000000000090E-1	1.30000000000000050E0	3.40000000000000000E-2
-5.00000000000000090E-1	1.35000000000000050E0	3.50000000000000000E-2
-5.00000000000000090E-1	1.40000000000000060E0	3.50000000000000000E-2
-5.00000000000000090E-1	1.45000000000000060E0	3.60000000000000000E-2
-5.00000000000000090E-1	1.50000000000000070E0	3.60000000000000000E-2
-5.00000000000000090E-1	1.55000000000000070E0	3.60000000000000000E-2
-5.00000000000000090E-1	1.60000000000000080E0	3.70000000000000000E-2
-5.00000000000000090E-1	1.65000000000000080E0	3.70000000000000000E-2
-5.00000000000000090E-1	1.70000000000000080E0	3.80000000000000000E-2
-5.00000000000000090E-1	1.75000000000000090E0	3.80000000000000000E-2
-5.00000000000000090E-1	1.80000000000000090E0	3.80000000000000000E-2
-5.00000000000000090E-1	1.85000000000000100E0	3.90000000000000000E-2
-5.00000000000000090E-1	1.90000000000000100E0	3.90000000000000000E-2
-5.00000000000000090E-1	1.95000000000000110E0	4.00000000000000000E-2
-5.00000000000000090E-1	2.00000000000000090E0	4.00000000000000000E-2
-5.00000000000000090E-1	2.05000000000000070E0	4.00000000000000000E-2
-5.00000000000000090E-1	2.10000000000000050E0	4.10000000000000000E-2
-5.00000000000000090E-1	2.15000000000000040E0	4.10000000000000000E-2
-5.00000000000000090E-1	2.20000000000000020E0	4.20000000000000000E-2
-5.00000000000000090E-1	2.25000000000000000E0	4.20000000000000000E-2
-5.00000000000000090E-1	2.29999999999999980E0	4.20000000000000000E-2
-5.00000000000000090E-1	2.34999999999999960E0	4.30000000000000000E-2
-5.00000000000000090E-1	2.39999999999999950E0	4.30000000000000000E-2
-5.00000000000000090E-1	2.44999999999999930E0	4.40000000000000000E-2
-5.00000000000000090E-1	2.49999999999999910E0	4.40000000000000000E-2
-5.00000000000000090E-1	2.54999999999999890E0	4.50000000000000000E-2
-5.00000000000000090E-1	2.59999999999999880E0	4.50000000000000000E-2
-5.00000000000000090E-1	2.64999999999999860E0	4.50000000000000000E-2
-5.00000000000000090E-1	2.69999999999999840E0	4.60000000000000000E-2
-5.00000000000000090E-1	2.74999999999999820E0	4.60000000000000000E-2
-5.00000000000000090E-1	2.79999999999999800E0	4.70000000000000000E-2
-5.00000000000000090E-1	2.84999999999999790E0	4.70000000000000000E-2
-5.00000000000000090E-1	2.89999999999999770E0	4.80000000000000000E-2
-5.00000000000000090E-1	2.94999999999999750E0	4.80000000000000000E-2
-5.00000000000000090E-1	2.99999999999999730E0	4.90000000000000000E-2
-5.00000000000000090E-1	3.04999999999999720E0	4.90000000000000000E-2
-5.00000000000000090E-1	3.09999999999999700E0	4.90000000000000000E-2
-5.00000000000000090E-1	3.14999999999999680E0	5.00000000000000000E-2
-5.00000000000000090E-1	3.19999999999999660E0	5.00000000000000000E-2
-5.00000000000000090E-1	3.24999999999999640E0	5.10000000000000000E-2
-5.00000000000000090E-1	3.29999999999999630E0	5.10000000000000000E-2
-5.00000000000000090E-1	3.34999999999999610E0	5.20000000000000000E-2
-5.00000000000000090E-1	3.39999999999999590E0	5.20000000000000000E-2
-5.00000000000000090E-1	3.44999999999999570E0	5.30000000000000000E-2
-5.00000000000000090E-1	3.49999999999999560E0	5.30000000000000000E-2
-5.00000000000000090E-1	3.54999999999999540E0	5.30000000000000000E-2
-5.00000000000000090E-1	3.59999999999999520E0	5.40000000000000000E-2
-5.00000000000000090E-1	3.64999999999999500E0	5.40000000000000000E-2
-5.00000000000000090E-1	3.69999999999999480E0	5.50000000000000000E-2
-5.00000000000000090E-1	3.74999999999999470E0	5.50000000000000000E-2
-5.00000000000000090E-1	3.79999999999999450E0	5.60000000000000000E-2
-5.00000000000000090E-1	3.84999999999999430E0	5.60000000000000000E-2
-5.00000000000000090E-1	3.89999999999999410E0	5.70000000000000000E-2
-5.00000000000000090E-1	3.94999999999999400E0	5.70000000000000000E-2
-5.00000000000000090E-1	4.00000000000000000E0	5.80000000000000000E-2

vg	vd	I_Probe1.i[6, ::]
-4.00000000000000180E-1	0.00000000000000000E0	7.60000000000000000E-11
-4.00000000000000180E-1	5.00000000000000000E-2	8.20000000000000000E-3
-4.00000000000000180E-1	1.00000000000000000E-1	1.50000000000000000E-2
-4.00000000000000180E-1	1.50000000000000020E-1	2.20000000000000000E-2
-4.00000000000000180E-1	2.00000000000000000E-1	2.80000000000000000E-2
-4.00000000000000180E-1	2.50000000000000000E-1	3.30000000000000000E-2
-4.00000000000000180E-1	3.00000000000000000E-1	3.70000000000000000E-2
-4.00000000000000180E-1	3.50000000000000000E-1	4.00000000000000000E-2
-4.00000000000000180E-1	3.99999999999999960E-1	4.30000000000000000E-2
-4.00000000000000180E-1	4.50000000000000000E-1	4.50000000000000000E-2
-4.00000000000000180E-1	4.99999999999999910E-1	4.60000000000000000E-2
-4.00000000000000180E-1	5.49999999999999910E-1	4.70000000000000000E-2
-4.00000000000000180E-1	6.00000000000000000E-1	4.80000000000000000E-2
-4.00000000000000180E-1	6.50000000000000000E-1	4.90000000000000000E-2
-4.00000000000000180E-1	7.00000000000000090E-1	4.90000000000000000E-2
-4.00000000000000180E-1	7.50000000000000090E-1	5.00000000000000000E-2
-4.00000000000000180E-1	8.00000000000000180E-1	5.00000000000000000E-2
-4.00000000000000180E-1	8.50000000000000180E-1	5.10000000000000000E-2
-4.00000000000000180E-1	9.00000000000000180E-1	5.10000000000000000E-2
-4.00000000000000180E-1	9.50000000000000360E-1	5.20000000000000000E-2
-4.00000000000000180E-1	1.00000000000000020E0	5.20000000000000000E-2
-4.00000000000000180E-1	1.05000000000000030E0	5.20000000000000000E-2
-4.00000000000000180E-1	1.10000000000000030E0	5.30000000000000000E-2
-4.00000000000000180E-1	1.15000000000000040E0	5.30000000000000000E-2
-4.00000000000000180E-1	1.20000000000000040E0	5.40000000000000000E-2
-4.00000000000000180E-1	1.25000000000000040E0	5.40000000000000000E-2
-4.00000000000000180E-1	1.30000000000000050E0	5.40000000000000000E-2
-4.00000000000000180E-1	1.35000000000000050E0	5.50000000000000000E-2
-4.00000000000000180E-1	1.40000000000000060E0	5.50000000000000000E-2
-4.00000000000000180E-1	1.45000000000000060E0	5.60000000000000000E-2
-4.00000000000000180E-1	1.50000000000000070E0	5.60000000000000000E-2
-4.00000000000000180E-1	1.55000000000000070E0	5.60000000000000000E-2
-4.00000000000000180E-1	1.60000000000000080E0	5.70000000000000000E-2
-4.00000000000000180E-1	1.65000000000000080E0	5.70000000000000000E-2
-4.00000000000000180E-1	1.70000000000000080E0	5.80000000000000000E-2
-4.00000000000000180E-1	1.75000000000000090E0	5.80000000000000000E-2
-4.00000000000000180E-1	1.80000000000000090E0	5.80000000000000000E-2
-4.00000000000000180E-1	1.85000000000000100E0	5.90000000000000000E-2
-4.00000000000000180E-1	1.90000000000000100E0	5.90000000000000000E-2
-4.00000000000000180E-1	1.95000000000000110E0	6.00000000000000000E-2
-4.00000000000000180E-1	2.00000000000000090E0	6.00000000000000000E-2
-4.00000000000000180E-1	2.05000000000000070E0	6.00000000000000000E-2
-4.00000000000000180E-1	2.10000000000000050E0	6.10000000000000000E-2
-4.00000000000000180E-1	2.15000000000000040E0	6.10000000000000000E-2
-4.00000000000000180E-1	2.20000000000000020E0	6.20000000000000000E-2
-4.00000000000000180E-1	2.25000000000000000E0	6.20000000000000000E-2
-4.00000000000000180E-1	2.29999999999999980E0	6.20000000000000000E-2
-4.00000000000000180E-1	2.34999999999999960E0	6.30000000000000000E-2
-4.00000000000000180E-1	2.39999999999999950E0	6.30000000000000000E-2
-4.00000000000000180E-1	2.44999999999999930E0	6.40000000000000000E-2
-4.00000000000000180E-1	2.49999999999999910E0	6.40000000000000000E-2
-4.00000000000000180E-1	2.54999999999999890E0	6.40000000000000000E-2
-4.00000000000000180E-1	2.59999999999999880E0	6.50000000000000000E-2
-4.00000000000000180E-1	2.64999999999999860E0	6.50000000000000000E-2
-4.00000000000000180E-1	2.69999999999999840E0	6.60000000000000000E-2
-4.00000000000000180E-1	2.74999999999999820E0	6.60000000000000000E-2
-4.00000000000000180E-1	2.79999999999999800E0	6.60000000000000000E-2
-4.00000000000000180E-1	2.84999999999999790E0	6.70000000000000000E-2
-4.00000000000000180E-1	2.89999999999999770E0	6.70000000000000000E-2
-4.00000000000000180E-1	2.94999999999999750E0	6.80000000000000000E-2
-4.00000000000000180E-1	2.99999999999999730E0	6.80000000000000000E-2
-4.00000000000000180E-1	3.04999999999999720E0	6.80000000000000000E-2
-4.00000000000000180E-1	3.09999999999999700E0	6.90000000000000000E-2
-4.00000000000000180E-1	3.14999999999999680E0	6.90000000000000000E-2
-4.00000000000000180E-1	3.19999999999999660E0	7.00000000000000000E-2
-4.00000000000000180E-1	3.24999999999999640E0	7.00000000000000000E-2
-4.00000000000000180E-1	3.29999999999999630E0	7.10000000000000000E-2
-4.00000000000000180E-1	3.34999999999999610E0	7.10000000000000000E-2
-4.00000000000000180E-1	3.39999999999999590E0	7.10000000000000000E-2
-4.00000000000000180E-1	3.44999999999999570E0	7.20000000000000000E-2
-4.00000000000000180E-1	3.49999999999999560E0	7.20000000000000000E-2
-4.00000000000000180E-1	3.54999999999999540E0	7.30000000000000000E-2
-4.00000000000000180E-1	3.59999999999999520E0	7.30000000000000000E-2
-4.00000000000000180E-1	3.64999999999999500E0	7.30000000000000000E-2
-4.00000000000000180E-1	3.69999999999999480E0	7.40000000000000000E-2
-4.00000000000000180E-1	3.74999999999999470E0	7.40000000000000000E-2
-4.00000000000000180E-1	3.79999999999999450E0	7.50000000000000000E-2
-4.00000000000000180E-1	3.84999999999999430E0	7.50000000000000000E-2
-4.00000000000000180E-1	3.89999999999999410E0	7.50000000000000000E-2
-4.00000000000000180E-1	3.94999999999999400E0	7.60000000000000000E-2
-4.00000000000000180E-1	4.00000000000000000E0	7.60000000000000000E-2

vg	vd	I_Probe1.i[7, ::]
-3.00000000000000180E-1	0.00000000000000000E0	1.60000000000000000E-11
-3.00000000000000180E-1	5.00000000000000000E-2	1.00000000000000000E-2
-3.00000000000000180E-1	1.00000000000000000E-1	2.10000000000000000E-2
-3.00000000000000180E-1	1.50000000000000020E-1	3.00000000000000000E-2
-3.00000000000000180E-1	2.00000000000000000E-1	3.90000000000000000E-2
-3.00000000000000180E-1	2.50000000000000000E-1	4.60000000000000000E-2
-3.00000000000000180E-1	3.00000000000000000E-1	5.20000000000000000E-2
-3.00000000000000180E-1	3.50000000000000000E-1	5.70000000000000000E-2
-3.00000000000000180E-1	3.99999999999999960E-1	6.10000000000000000E-2
-3.00000000000000180E-1	4.50000000000000000E-1	6.40000000000000000E-2
-3.00000000000000180E-1	4.99999999999999910E-1	6.60000000000000000E-2
-3.00000000000000180E-1	5.49999999999999910E-1	6.80000000000000000E-2
-3.00000000000000180E-1	6.00000000000000000E-1	6.90000000000000000E-2
-3.00000000000000180E-1	6.50000000000000000E-1	7.00000000000000000E-2
-3.00000000000000180E-1	7.00000000000000090E-1	7.10000000000000000E-2
-3.00000000000000180E-1	7.50000000000000090E-1	7.20000000000000000E-2
-3.00000000000000180E-1	8.00000000000000180E-1	7.20000000000000000E-2
-3.00000000000000180E-1	8.50000000000000180E-1	7.30000000000000000E-2
-3.00000000000000180E-1	9.00000000000000180E-1	7.30000000000000000E-2
-3.00000000000000180E-1	9.50000000000000360E-1	7.40000000000000000E-2
-3.00000000000000180E-1	1.00000000000000020E0	7.40000000000000000E-2
-3.00000000000000180E-1	1.05000000000000030E0	7.40000000000000000E-2
-3.00000000000000180E-1	1.10000000000000030E0	7.50000000000000000E-2
-3.00000000000000180E-1	1.15000000000000040E0	7.50000000000000000E-2
-3.00000000000000180E-1	1.20000000000000040E0	7.60000000000000000E-2
-3.00000000000000180E-1	1.25000000000000040E0	7.60000000000000000E-2
-3.00000000000000180E-1	1.30000000000000050E0	7.60000000000000000E-2
-3.00000000000000180E-1	1.35000000000000050E0	7.70000000000000000E-2
-3.00000000000000180E-1	1.40000000000000060E0	7.70000000000000000E-2
-3.00000000000000180E-1	1.45000000000000060E0	7.70000000000000000E-2
-3.00000000000000180E-1	1.50000000000000070E0	7.80000000000000000E-2
-3.00000000000000180E-1	1.55000000000000070E0	7.80000000000000000E-2
-3.00000000000000180E-1	1.60000000000000080E0	7.80000000000000000E-2
-3.00000000000000180E-1	1.65000000000000080E0	7.90000000000000000E-2
-3.00000000000000180E-1	1.70000000000000080E0	7.90000000000000000E-2
-3.00000000000000180E-1	1.75000000000000090E0	7.90000000000000000E-2
-3.00000000000000180E-1	1.80000000000000090E0	8.00000000000000000E-2
-3.00000000000000180E-1	1.85000000000000100E0	8.00000000000000000E-2
-3.00000000000000180E-1	1.90000000000000100E0	8.00000000000000000E-2
-3.00000000000000180E-1	1.95000000000000110E0	8.10000000000000000E-2
-3.00000000000000180E-1	2.00000000000000090E0	8.10000000000000000E-2
-3.00000000000000180E-1	2.05000000000000070E0	8.10000000000000000E-2
-3.00000000000000180E-1	2.10000000000000050E0	8.20000000000000000E-2
-3.00000000000000180E-1	2.15000000000000040E0	8.20000000000000000E-2
-3.00000000000000180E-1	2.20000000000000020E0	8.30000000000000000E-2
-3.00000000000000180E-1	2.25000000000000000E0	8.30000000000000000E-2
-3.00000000000000180E-1	2.29999999999999980E0	8.30000000000000000E-2
-3.00000000000000180E-1	2.34999999999999960E0	8.40000000000000000E-2
-3.00000000000000180E-1	2.39999999999999950E0	8.40000000000000000E-2
-3.00000000000000180E-1	2.44999999999999930E0	8.40000000000000000E-2
-3.00000000000000180E-1	2.49999999999999910E0	8.50000000000000000E-2
-3.00000000000000180E-1	2.54999999999999890E0	8.50000000000000000E-2
-3.00000000000000180E-1	2.59999999999999880E0	8.50000000000000000E-2
-3.00000000000000180E-1	2.64999999999999860E0	8.60000000000000000E-2
-3.00000000000000180E-1	2.69999999999999840E0	8.60000000000000000E-2
-3.00000000000000180E-1	2.74999999999999820E0	8.60000000000000000E-2
-3.00000000000000180E-1	2.79999999999999800E0	8.70000000000000000E-2
-3.00000000000000180E-1	2.84999999999999790E0	8.70000000000000000E-2
-3.00000000000000180E-1	2.89999999999999770E0	8.70000000000000000E-2
-3.00000000000000180E-1	2.94999999999999750E0	8.80000000000000000E-2
-3.00000000000000180E-1	2.99999999999999730E0	8.80000000000000000E-2
-3.00000000000000180E-1	3.04999999999999720E0	8.80000000000000000E-2
-3.00000000000000180E-1	3.09999999999999700E0	8.90000000000000000E-2
-3.00000000000000180E-1	3.14999999999999680E0	8.90000000000000000E-2
-3.00000000000000180E-1	3.19999999999999660E0	8.90000000000000000E-2
-3.00000000000000180E-1	3.24999999999999640E0	9.00000000000000000E-2
-3.00000000000000180E-1	3.29999999999999630E0	9.00000000000000000E-2
-3.00000000000000180E-1	3.34999999999999610E0	9.00000000000000000E-2
-3.00000000000000180E-1	3.39999999999999590E0	9.10000000000000000E-2
-3.00000000000000180E-1	3.44999999999999570E0	9.10000000000000000E-2
-3.00000000000000180E-1	3.49999999999999560E0	9.10000000000000000E-2
-3.00000000000000180E-1	3.54999999999999540E0	9.20000000000000000E-2
-3.00000000000000180E-1	3.59999999999999520E0	9.20000000000000000E-2
-3.00000000000000180E-1	3.64999999999999500E0	9.20000000000000000E-2
-3.00000000000000180E-1	3.69999999999999480E0	9.30000000000000000E-2
-3.00000000000000180E-1	3.74999999999999470E0	9.30000000000000000E-2
-3.00000000000000180E-1	3.79999999999999450E0	9.30000000000000000E-2
-3.00000000000000180E-1	3.84999999999999430E0	9.40000000000000000E-2
-3.00000000000000180E-1	3.89999999999999410E0	9.40000000000000000E-2
-3.00000000000000180E-1	3.94999999999999400E0	9.40000000000000000E-2
-3.00000000000000180E-1	4.00000000000000000E0	9.40000000000000000E-2

vg	vd	I_Probe1.i[8, ::]
-2.00000000000000130E-1	0.00000000000000000E0	2.10000000000000000E-12
-2.00000000000000130E-1	5.00000000000000000E-2	1.20000000000000000E-2
-2.00000000000000130E-1	1.00000000000000000E-1	2.50000000000000000E-2
-2.00000000000000130E-1	1.50000000000000020E-1	3.60000000000000000E-2
-2.00000000000000130E-1	2.00000000000000000E-1	4.70000000000000000E-2
-2.00000000000000130E-1	2.50000000000000000E-1	5.70000000000000000E-2
-2.00000000000000130E-1	3.00000000000000000E-1	6.50000000000000000E-2
-2.00000000000000130E-1	3.50000000000000000E-1	7.20000000000000000E-2
-2.00000000000000130E-1	3.99999999999999960E-1	7.80000000000000000E-2
-2.00000000000000130E-1	4.50000000000000000E-1	8.20000000000000000E-2
-2.00000000000000130E-1	4.99999999999999910E-1	8.60000000000000000E-2
-2.00000000000000130E-1	5.49999999999999910E-1	8.90000000000000000E-2
-2.00000000000000130E-1	6.00000000000000000E-1	9.00000000000000000E-2
-2.00000000000000130E-1	6.50000000000000000E-1	9.20000000000000000E-2
-2.00000000000000130E-1	7.00000000000000090E-1	9.30000000000000000E-2
-2.00000000000000130E-1	7.50000000000000090E-1	9.40000000000000000E-2
-2.00000000000000130E-1	8.00000000000000180E-1	9.40000000000000000E-2
-2.00000000000000130E-1	8.50000000000000180E-1	9.50000000000000000E-2
-2.00000000000000130E-1	9.00000000000000180E-1	9.50000000000000000E-2
-2.00000000000000130E-1	9.50000000000000360E-1	9.60000000000000000E-2
-2.00000000000000130E-1	1.00000000000000020E0	9.60000000000000000E-2
-2.00000000000000130E-1	1.05000000000000030E0	9.60000000000000000E-2
-2.00000000000000130E-1	1.10000000000000030E0	9.70000000000000000E-2
-2.00000000000000130E-1	1.15000000000000040E0	9.70000000000000000E-2
-2.00000000000000130E-1	1.20000000000000040E0	9.70000000000000000E-2
-2.00000000000000130E-1	1.25000000000000040E0	9.80000000000000000E-2
-2.00000000000000130E-1	1.30000000000000050E0	9.80000000000000000E-2
-2.00000000000000130E-1	1.35000000000000050E0	9.80000000000000000E-2
-2.00000000000000130E-1	1.40000000000000060E0	9.80000000000000000E-2
-2.00000000000000130E-1	1.45000000000000060E0	9.90000000000000000E-2
-2.00000000000000130E-1	1.50000000000000070E0	9.90000000000000000E-2
-2.00000000000000130E-1	1.55000000000000070E0	9.90000000000000000E-2
-2.00000000000000130E-1	1.60000000000000080E0	1.00000000000000000E-1
-2.00000000000000130E-1	1.65000000000000080E0	1.00000000000000000E-1
-2.00000000000000130E-1	1.70000000000000080E0	1.00000000000000000E-1
-2.00000000000000130E-1	1.75000000000000090E0	1.00000000000000000E-1
-2.00000000000000130E-1	1.80000000000000090E0	1.00000000000000000E-1
-2.00000000000000130E-1	1.85000000000000100E0	1.00000000000000000E-1
-2.00000000000000130E-1	1.90000000000000100E0	1.00000000000000000E-1
-2.00000000000000130E-1	1.95000000000000110E0	1.00000000000000000E-1
-2.00000000000000130E-1	2.00000000000000090E0	1.00000000000000000E-1
-2.00000000000000130E-1	2.05000000000000070E0	1.00000000000000000E-1
-2.00000000000000130E-1	2.10000000000000050E0	1.00000000000000000E-1
-2.00000000000000130E-1	2.15000000000000040E0	1.00000000000000000E-1
-2.00000000000000130E-1	2.20000000000000020E0	1.00000000000000000E-1
-2.00000000000000130E-1	2.25000000000000000E0	1.00000000000000000E-1
-2.00000000000000130E-1	2.29999999999999980E0	1.00000000000000000E-1
-2.00000000000000130E-1	2.34999999999999960E0	1.00000000000000000E-1
-2.00000000000000130E-1	2.39999999999999950E0	1.00000000000000000E-1
-2.00000000000000130E-1	2.44999999999999930E0	1.00000000000000000E-1
-2.00000000000000130E-1	2.49999999999999910E0	1.00000000000000000E-1
-2.00000000000000130E-1	2.54999999999999890E0	1.00000000000000000E-1
-2.00000000000000130E-1	2.59999999999999880E0	1.00000000000000000E-1
-2.00000000000000130E-1	2.64999999999999860E0	1.00000000000000000E-1
-2.00000000000000130E-1	2.69999999999999840E0	1.00000000000000000E-1
-2.00000000000000130E-1	2.74999999999999820E0	1.00000000000000000E-1
-2.00000000000000130E-1	2.79999999999999800E0	1.00000000000000000E-1
-2.00000000000000130E-1	2.84999999999999790E0	1.00000000000000000E-1
-2.00000000000000130E-1	2.89999999999999770E0	1.00000000000000000E-1
-2.00000000000000130E-1	2.94999999999999750E0	1.00000000000000000E-1
-2.00000000000000130E-1	2.99999999999999730E0	1.00000000000000000E-1
-2.00000000000000130E-1	3.04999999999999720E0	1.00000000000000000E-1
-2.00000000000000130E-1	3.09999999999999700E0	1.00000000000000000E-1
-2.00000000000000130E-1	3.14999999999999680E0	1.00000000000000000E-1
-2.00000000000000130E-1	3.19999999999999660E0	1.00000000000000000E-1
-2.00000000000000130E-1	3.24999999999999640E0	1.00000000000000000E-1
-2.00000000000000130E-1	3.29999999999999630E0	1.00000000000000000E-1
-2.00000000000000130E-1	3.34999999999999610E0	1.00000000000000000E-1
-2.00000000000000130E-1	3.39999999999999590E0	1.00000000000000000E-1
-2.00000000000000130E-1	3.44999999999999570E0	1.00000000000000000E-1
-2.00000000000000130E-1	3.49999999999999560E0	1.00000000000000000E-1
-2.00000000000000130E-1	3.54999999999999540E0	1.10000000000000000E-1
-2.00000000000000130E-1	3.59999999999999520E0	1.10000000000000000E-1
-2.00000000000000130E-1	3.64999999999999500E0	1.10000000000000000E-1
-2.00000000000000130E-1	3.69999999999999480E0	1.10000000000000000E-1
-2.00000000000000130E-1	3.74999999999999470E0	1.10000000000000000E-1
-2.00000000000000130E-1	3.79999999999999450E0	1.10000000000000000E-1
-2.00000000000000130E-1	3.84999999999999430E0	1.10000000000000000E-1
-2.00000000000000130E-1	3.89999999999999410E0	1.10000000000000000E-1
-2.00000000000000130E-1	3.94999999999999400E0	1.10000000000000000E-1
-2.00000000000000130E-1	4.00000000000000000E0	1.10000000000000000E-1

vg	vd	I_Probe1.i[9, ::]
-1.00000000000000130E-1	0.00000000000000000E0	3.20000000000000000E-13
-1.00000000000000130E-1	5.00000000000000000E-2	1.40000000000000000E-2
-1.00000000000000130E-1	1.00000000000000000E-1	2.80000000000000000E-2
-1.00000000000000130E-1	1.50000000000000020E-1	4.10000000000000000E-2
-1.00000000000000130E-1	2.00000000000000000E-1	5.40000000000000000E-2
-1.00000000000000130E-1	2.50000000000000000E-1	6.50000000000000000E-2
-1.00000000000000130E-1	3.00000000000000000E-1	7.50000000000000000E-2
-1.00000000000000130E-1	3.50000000000000000E-1	8.40000000000000000E-2
-1.00000000000000130E-1	3.99999999999999960E-1	9.20000000000000000E-2
-1.00000000000000130E-1	4.50000000000000000E-1	9.80000000000000000E-2
-1.00000000000000130E-1	4.99999999999999910E-1	1.00000000000000000E-1
-1.00000000000000130E-1	5.49999999999999910E-1	1.00000000000000000E-1
-1.00000000000000130E-1	6.00000000000000000E-1	1.10000000000000000E-1
-1.00000000000000130E-1	6.50000000000000000E-1	1.10000000000000000E-1
-1.00000000000000130E-1	7.00000000000000090E-1	1.10000000000000000E-1
-1.00000000000000130E-1	7.50000000000000090E-1	1.10000000000000000E-1
-1.00000000000000130E-1	8.00000000000000180E-1	1.10000000000000000E-1
-1.00000000000000130E-1	8.50000000000000180E-1	1.10000000000000000E-1
-1.00000000000000130E-1	9.00000000000000180E-1	1.10000000000000000E-1
-1.00000000000000130E-1	9.50000000000000360E-1	1.10000000000000000E-1
-1.00000000000000130E-1	1.00000000000000020E0	1.10000000000000000E-1
-1.00000000000000130E-1	1.05000000000000030E0	1.10000000000000000E-1
-1.00000000000000130E-1	1.10000000000000030E0	1.10000000000000000E-1
-1.00000000000000130E-1	1.15000000000000040E0	1.10000000000000000E-1
-1.00000000000000130E-1	1.20000000000000040E0	1.10000000000000000E-1
-1.00000000000000130E-1	1.25000000000000040E0	1.10000000000000000E-1
-1.00000000000000130E-1	1.30000000000000050E0	1.10000000000000000E-1
-1.00000000000000130E-1	1.35000000000000050E0	1.10000000000000000E-1
-1.00000000000000130E-1	1.40000000000000060E0	1.10000000000000000E-1
-1.00000000000000130E-1	1.45000000000000060E0	1.10000000000000000E-1
-1.00000000000000130E-1	1.50000000000000070E0	1.20000000000000000E-1
-1.00000000000000130E-1	1.55000000000000070E0	1.20000000000000000E-1
-1.00000000000000130E-1	1.60000000000000080E0	1.20000000000000000E-1
-1.00000000000000130E-1	1.65000000000000080E0	1.20000000000000000E-1
-1.00000000000000130E-1	1.70000000000000080E0	1.20000000000000000E-1
-1.00000000000000130E-1	1.75000000000000090E0	1.20000000000000000E-1
-1.00000000000000130E-1	1.80000000000000090E0	1.20000000000000000E-1
